2015,2531
2014,3918
2013,3532
2012,3047
2011,2804
2010,2545
2009,2068
2008,1647
2007,1199
2006,1151
2005,823
2004,625
2003,501
2002,390
2001,228
2000,190
1999,148
1998,80
1997,38
1996,36
1995,31
1994,30
1993,16
1992,14
1991,11
1990,9
1989,10
1988,9
1987,8
1986,6
1985,8
1984,6
1983,7
1982,4
1981,2
1980,1
1979,1
1978,2
1977,1
1975,1

