2015,608
2014,790
2013,782
2012,701
2011,653
2010,587
2009,582
2008,563
2007,527
2006,437
2005,423
2004,371
2003,333
2002,276
2001,282
2000,279
1999,208
1998,189
1997,198
1996,175
1995,197
1994,168
1993,164
1992,168
1991,175
1990,125
1989,133
1988,143
1987,117
1986,134
1985,131
1984,156
1983,133
1982,190
1981,130
1980,177
1979,243
1978,176
1977,172
1976,186
1975,224
1974,199
1973,222
1972,223
1971,208
1970,185
1969,212
1968,193
1967,134
1966,88
1965,85
1964,79
1963,35
1962,17
1961,11
1960,6
1959,2
1958,11
1957,8
1956,9
1955,6
1954,7
1953,12
1952,7
1951,9
1950,7
1949,7
1948,2
1947,5
1946,5
1945,3
1943,1

