23798070,argentina
25335370,argentina
18752558,australia
22356312,australia
25285173,australia
24111843,australia
23614471,australia
24669279,australia
25825603,australia
25157279,australia
18992011,australia
23420750,australia
17914977,australia
25136258,australia
23372433,australia
22916079,australia
18396458,australia
22927066,australia
21040327,australia
17880294,australia
25552921,australia
20617130,australia
22472678,australia
23745992,australia
23211074,australia
25663940,australia
17880296,australia
23916395,australia
22046741,australia
24883124,australia
17645603,australia
25465514,australia
23139636,australia
25897295,australia
18666990,australia
24610628,australia
14984362,australia
22296175,australia
21995435,australia
19215326,australia
23843899,australia
21278921,australia
21902779,australia
23548335,australia
7586715,australia
8713196,australia
18810574,austria
22302367,austria
22890611,austria
21541679,austria
21462000,austria
17985548,austria
21691987,austria
23242744,austria
21830118,austria
17985549,austria
23456240,austria
20094741,austria
20364417,austria
20232092,austria
17985546,austria
19812974,austria
1656918,austria
18274177,belgium
17214441,belgium
21473456,belgium
15553096,belgium
22750368,belgium
22750601,belgium
21946160,belgium
25527438,belgium
20503954,belgium
23409578,belgium
20117231,belgium
25460782,belgium
22750382,belgium
22523938,belgium
25498547,belgium
21667725,belgium
25831096,brazil
12886456,brazil
25003631,brazil
22441592,brazil
25730015,brazil
22760903,brazil
23096924,brazil
24847547,brazil
25117332,brazil
23033130,brazil
22183245,brazil
23702937,brazil
23207843,brazil
21203697,brazil
22983182,brazil
25098717,brazil
24782054,brazil
21519641,brazil
21861033,brazil
23702935,brazil
26125820,brazil
25036509,brazil
24535856,brazil
21271197,brazil
21952654,brazil
15100987,brazil
22378370,brazil
24682983,brazil
25140589,brazil
24723752,bulgaria
12615546,canada
20921972,canada
21969816,canada
24588388,canada
21745333,canada
19531334,canada
21453393,canada
20683343,canada
24219289,canada
22856508,canada
17535331,canada
22420568,canada
22145692,canada
16672110,canada
17713585,canada
24070745,canada
18353203,canada
19128608,canada
24021294,canada
20683346,canada
24863845,canada
23350548,canada
19412395,canada
25877440,canada
19426609,canada
20156226,canada
22184552,canada
23815469,canada
21936680,canada
12056542,canada
25877441,canada
22365094,canada
19076179,canada
19673958,canada
9276149,canada
22561507,china
16927821,china
19957850,china
19957849,china
24534220,china
19957846,china
19957658,china
24535341,china
19947480,china
19947479,china
16854305,china
24567784,china
16752853,china
16706384,china
24622448,china
16696326,china
16685359,china
16677551,china
24640374,china
24640377,china
21624255,china
16640933,china
22568335,china
19938461,china
12433628,china
26072627,china
24660627,china
20871956,china
16579223,china
24665636,china
16573171,china
16533429,china
16529330,china
16529325,china
19923055,china
16529324,china
22616182,china
16529321,china
21685697,china
19842556,china
24693792,china
22667105,china
19821093,china
19821092,china
19817305,china
19813624,china
19813613,china
19803205,china
24709190,china
21706791,china
24711359,china
19803204,china
16464389,china
16457450,china
19803203,china
22702042,china
22712393,china
19781392,china
16422105,china
12508441,china
19769271,china
22728916,china
19728624,china
19728623,china
12516482,china
16422100,china
16422095,china
16344890,china
12516484,china
16334243,china
25549688,china
19728622,china
20842853,china
20842852,china
16334242,china
24754157,china
19728618,china
22737937,china
19728617,china
12527513,china
21174794,china
19705719,china
24754196,china
22781649,china
16334234,china
16334228,china
16329844,china
16324303,china
16294736,china
24772237,china
22792777,china
24772241,china
19662994,china
19662991,china
19662989,china
19662373,china
16274136,china
16274135,china
16274133,china
16271228,china
16255983,china
16255931,china
19662371,china
12569685,china
22826944,china
19637637,china
12569799,china
12569805,china
19634672,china
19634671,china
19634670,china
24796188,china
24796189,china
25058959,china
19634651,china
16248431,china
21226351,china
20842848,china
21336730,china
20839451,china
26062339,china
19595149,china
16212907,china
16206770,china
16206762,china
16206761,china
16191379,china
16176109,china
19594027,china
16176096,china
16156288,china
16156278,china
22886971,china
24844002,china
21734784,china
19570398,china
22905627,china
24844004,china
24844010,china
25882933,china
24844011,china
19558169,china
21735789,china
19558168,china
25881610,china
25516520,china
24844012,china
24844013,china
21354914,china
24844024,china
21174793,china
24844025,china
16130396,china
22932138,china
16130395,china
24846942,china
25509786,china
25509782,china
16115377,china
25508446,china
25508425,china
16108347,china
22944125,china
22944134,china
19514590,china
16083586,china
19514586,china
19514585,china
21735791,china
19514565,china
