scaffolds	27618
molecular	5575
chemical	2831
structural	2758
day	1157
light	802
atomic	495
circular	291
pharmacophore	243
radial	163
fingerprints	47
substructure	42
pubchem	28
ontology	28
FP	11
cheminformatics	11
MOE	8
Sfp	4
MACCS	3
ECFP4	1
SIFt	1
ECfp4	1
