scaffolds	23434
molecular	2902
structural	2737
chemical	2548
day	1157
light	731
atomic	335
pharmacophore	241
circular	204
radial	162
fingerprints	46
substructure	40
ontology	28
pubchem	22
FP	11
cheminformatics	11
MOE	8
Sfp	4
MACCS	3
ECFP4	1
SIFt	1
ECfp4	1
